iter	Passed	Remaining
399	37777	9444
400	37875	9350
401	37977	9258
402	38070	9163
403	38168	9069
404	38256	8973
405	38349	8878
406	38444	8784
407	38533	8688
408	38624	8593
409	38714	8498
410	38813	8404
411	38901	8309
412	38994	8214
413	39087	8119
414	39184	8025
415	39287	7933
416	39384	7839
417	39477	7744
418	39571	7649
419	39662	7554
420	39760	7460
421	39853	7366
422	39944	7271
423	40047	7178
424	40145	7084
425	40236	6989
426	40326	6894
427	40419	6799
428	40511	6704
429	40607	6610
430	40697	6515
431	40794	6421
432	40892	6327
433	40981	6232
434	41067	6136
435	41159	6041
436	41252	5947
437	41342	5852
438	41432	5757
439	41528	5662
440	41660	5573
441	41757	5479
442	41851	5384
443	41950	5291
444	42044	5196
445	42139	5102
446	42238	5008
447	42336	4914
448	42438	4820
449	42534	4726
450	42629	4631
451	42721	4536
452	42803	4440
453	42893	4345
454	42981	4250
455	43077	4156
456	43168	4061
457	43263	3967
458	43359	3873
459	43456	3778
460	43549	3684
461	43643	3589
462	43740	3495
463	43839	3401
464	43930	3306
465	44021	3211
466	44111	3117
467	44205	3022
468	44300	2928
469	44397	2833
470	44497	2739
471	44600	2645
472	44691	2551
473	44785	2456
474	44884	2362
475	44978	2267
476	45071	2173
477	45159	2078
478	45244	1983
479	45334	1888
480	45427	1794
481	45519	1699
482	45611	1605
483	45702	1510
484	45791	1416
485	45884	1321
486	45979	1227
487	46082	1133
488	46175	1038
489	46272	944
490	46378	850
491	46473	755
492	46569	661
493	46668	566
494	46768	472
495	46860	377
496	46949	283
497	47042	188
498	47137	94
499	47226	0
