iter	PRAUC	Logloss
206	0.6837349707	0.4723973528
207	0.6837721099	0.4723767734
208	0.6839084801	0.4723064374
209	0.6840581403	0.4722271469
210	0.6842079673	0.4721470444
211	0.6842746622	0.4720803709
212	0.6842907314	0.4720658077
213	0.6843961481	0.4719510481
214	0.6846009848	0.4718425737
215	0.6847706629	0.4717458057
216	0.6849698536	0.4716589158
217	0.6851080043	0.4715431181
218	0.6853384787	0.4714310519
219	0.6854016179	0.4713735595
220	0.685504294	0.4712939039
221	0.685594404	0.4712472041
222	0.6857040852	0.471149552
223	0.6858746347	0.4710589698
224	0.6859848751	0.4709951136
225	0.6862374967	0.4708576681
226	0.6863391235	0.470791585
227	0.6864284514	0.4707289349
228	0.6865765176	0.470620048
229	0.6867747355	0.4705155714
230	0.6868789	0.4704457533
231	0.6870410454	0.4703501893
232	0.6872436054	0.4702419717
233	0.6873231195	0.4701870288
234	0.6874797092	0.4700958531
235	0.6876670377	0.4699812476
236	0.6879246456	0.4698717002
237	0.6879505958	0.469850916
238	0.6879975639	0.469822924
239	0.6881075348	0.4697388248
240	0.6882998853	0.4696216082
241	0.688382063	0.4695704625
242	0.6884089254	0.4695533536
243	0.6886403484	0.4694189893
244	0.6888817345	0.4692994591
245	0.6889763782	0.4692429897
246	0.6890140712	0.4692133037
247	0.6891267139	0.4691283461
248	0.6891854214	0.4690722724
249	0.6892676673	0.4690150125
250	0.6893825404	0.4689436696
251	0.6896513568	0.4688234455
252	0.6898650194	0.4687164459
253	0.6898749671	0.468703594
254	0.690129095	0.4685876
255	0.6903396583	0.4684813614
256	0.6904627467	0.4683980983
257	0.690651398	0.4682818145
258	0.6907377466	0.468209357
259	0.6908781253	0.4681284755
260	0.6909840341	0.4680581046
261	0.6912382862	0.4679279209
262	0.6914180469	0.4678263846
263	0.6914938901	0.4677635234
264	0.6916474739	0.4676731886
265	0.6919574948	0.4675244211
266	0.6921356789	0.4674382938
267	0.6922956505	0.4673428937
268	0.6924640011	0.4672424276
269	0.6925701275	0.4671826345
270	0.6926992199	0.4671083652
271	0.6929207895	0.4669577853
272	0.6930373914	0.4668855431
273	0.6930972995	0.4668457414
274	0.6933621331	0.4666786099
275	0.6935198226	0.4665781845
276	0.6936329764	0.466506151
277	0.6938120299	0.4664064148
278	0.6939074924	0.466358181
279	0.6941349345	0.4662511031
280	0.6943551451	0.4661532293
281	0.6944646783	0.4660775
282	0.694652481	0.4659811436
283	0.6947511059	0.465904429
284	0.6948876967	0.4658118724
285	0.6950170221	0.4657288527
286	0.6951698729	0.4656192216
287	0.6953710788	0.46551071
288	0.6955179533	0.4654252048
289	0.6956192287	0.4653530476
290	0.6957435523	0.4652564008
291	0.695857506	0.4651899128
292	0.6960026405	0.4651067056
293	0.6961909133	0.4650032822
294	0.6963328571	0.4649026573
295	0.6964705245	0.4648143339
296	0.696524143	0.4647737772
297	0.6967503027	0.464667864
298	0.6969528127	0.4645355548
299	0.6970622319	0.4644731545
300	0.6971987607	0.4644003048
301	0.6973280598	0.4643209447
302	0.6975237044	0.464217646
303	0.6975539599	0.4641944744
304	0.6977074523	0.4641185765
305	0.6978136491	0.4640551454
306	0.697895679	0.4640078961
307	0.6980722379	0.4639296258
308	0.6982148872	0.463831635
309	0.6983363785	0.4637629531
310	0.69843909	0.463702595
311	0.698606845	0.4636039812
312	0.698705559	0.4635464441
313	0.6988451103	0.4634550817
314	0.6990345347	0.4633578922
315	0.699178104	0.4632803203
316	0.6992519133	0.4632357703
317	0.6994021433	0.4631538612
318	0.6994922751	0.463102858
319	0.6995921685	0.4630377046
320	0.6996994425	0.4629479004
321	0.6997832287	0.4628976664
322	0.6999663344	0.4628146113
323	0.7000823461	0.4627443492
324	0.7002274306	0.4626586569
325	0.700332396	0.4625929598
326	0.70042357	0.462531317
327	0.7005038967	0.4624799237
328	0.7006129432	0.4624135373
329	0.7007771928	0.4623033815
330	0.7009685671	0.4622010733
331	0.7011557019	0.4620720247
332	0.7012183359	0.4620379383
333	0.7012893385	0.4619945164
334	0.701332511	0.4619681313
335	0.7014712756	0.4618947631
336	0.7016628599	0.4618035631
337	0.7018505201	0.4616736727
338	0.7020289246	0.4615689978
339	0.7021971045	0.461465552
340	0.7023888646	0.4613657151
341	0.7024871738	0.4613076592
342	0.7027184163	0.4611907648
343	0.7028395064	0.4611171481
344	0.7029618688	0.4610467007
345	0.7031494116	0.4609590057
346	0.7032857271	0.4608805033
347	0.7034453537	0.4607915082
348	0.703570218	0.4606995933
349	0.7036867051	0.4606238886
350	0.703756814	0.4605723286
351	0.7038916842	0.4605047158
352	0.7040364461	0.4604105951
353	0.7041555044	0.4603322449
354	0.7042570421	0.4602701539
355	0.7043802075	0.4601974368
356	0.7045807654	0.4600892563
357	0.7046870399	0.4600159189
358	0.7047299284	0.4599974125
359	0.7048388763	0.4599081675
360	0.7049713306	0.4598362531
361	0.7050327508	0.4597795454
362	0.7052206301	0.4596883295
363	0.7053231541	0.4596342158
364	0.7055413473	0.4594777119
365	0.7056856634	0.4593768054
366	0.7058128208	0.4592769318
367	0.7059032695	0.4592202768
368	0.7061357741	0.4591028968
369	0.7062376632	0.4590431976
370	0.7063059122	0.4589973672
371	0.7064027645	0.4589430065
372	0.7065333414	0.4588776
373	0.7066164526	0.4588352047
374	0.706772506	0.4587284383
375	0.7068528484	0.4586841433
376	0.7069669928	0.4586263895
377	0.7071393639	0.4585247517
378	0.7073295234	0.4584217888
379	0.7074552069	0.4583448206
380	0.7075760328	0.4582705691
381	0.7076434199	0.4582391101
382	0.7077875799	0.4581684496
383	0.7079377867	0.4580724459
384	0.7080255033	0.4580018759
385	0.7081147771	0.4579420754
386	0.7083634084	0.4577764671
387	0.7084963843	0.4577039063
388	0.7086599155	0.4576000428
389	0.7087924508	0.4575301312
390	0.7088778054	0.457466736
391	0.7090440241	0.457379633
392	0.7092064065	0.4572782896
393	0.7093275973	0.4571837426
394	0.7095582951	0.457078201
395	0.7096727659	0.4570168921
396	0.7097845003	0.4569523817
397	0.7099392585	0.4568678647
398	0.7101501048	0.4567499644
399	0.7104158286	0.4566224103
400	0.7105568812	0.4565412724
401	0.7107466695	0.4564217417
402	0.7108911162	0.4563353469
403	0.7110379304	0.4562623227
404	0.7111807086	0.4561902175
405	0.711356693	0.4560738257
406	0.7115893707	0.4559493439
407	0.7117228822	0.4558712332
408	0.7118744206	0.4557964259
409	0.712005922	0.4557246993
410	0.7121523333	0.4556307829
411	0.7122482525	0.4555532648
412	0.7123297886	0.4555075421
413	0.7124885079	0.455419656
414	0.7126463998	0.4553228594
415	0.7128322097	0.4552344246
416	0.7130046025	0.4551384438
417	0.713170339	0.4550580364
418	0.7132662659	0.4550027049
419	0.7134413229	0.4548941303
420	0.7135468314	0.454838529
421	0.713693927	0.4547633304
422	0.7138595322	0.4546538941
423	0.7139800088	0.4545562566
424	0.71403942	0.4545179448
425	0.7142367066	0.4543897754
426	0.7142640269	0.4543757935
427	0.7143450731	0.4543228792
428	0.7144872205	0.4542227783
429	0.7145853014	0.4541606688
430	0.7146413202	0.4541291788
431	0.7147821508	0.4540319698
432	0.7148823537	0.4539468953
433	0.7149918515	0.4538787931
434	0.7150628297	0.4538406042
435	0.7151447076	0.4537832965
436	0.7152947947	0.4537035195
437	0.7153976261	0.4536536394
438	0.7155041443	0.4535887954
439	0.7156450203	0.4534896024
440	0.7157645418	0.4534237065
441	0.7158886821	0.4533528282
442	0.7159841834	0.4532915846
443	0.7161059448	0.4532250268
444	0.7161599321	0.4531910968
445	0.7162437617	0.453141514
446	0.7164136341	0.4530254557
447	0.7165608318	0.4529347201
448	0.7166949136	0.4528687499
449	0.7168184071	0.4528018147
450	0.7169485959	0.4527253943
451	0.7169545925	0.4527223911
452	0.7170020812	0.452691361
453	0.7172069667	0.452586974
454	0.7172998306	0.45254251
455	0.7174521743	0.4524381276
456	0.7175041996	0.4524004436
457	0.7176329946	0.4523313702
458	0.7177761037	0.4522471382
459	0.717940739	0.452144952
460	0.7180043324	0.4521122065
461	0.7180207647	0.4520976757
462	0.718243739	0.4519721137
463	0.7183735559	0.4518947614
464	0.7185113135	0.4517998695
465	0.7186118694	0.4517330398
466	0.7187691761	0.4516597437
467	0.7189175803	0.451561557
468	0.7189775874	0.4515243041
469	0.7191588756	0.4514112889
470	0.7191961315	0.451379974
471	0.7194244101	0.4512722003
472	0.719548678	0.4511790815
473	0.7196502708	0.4511229564
474	0.7197402744	0.4510679965
475	0.7198091749	0.451007749
476	0.719906525	0.4509309575
477	0.7199388593	0.4509098597
478	0.7200091606	0.4508662119
479	0.7200850508	0.4508212989
480	0.720262091	0.4507279225
481	0.7204036953	0.4506578834
482	0.7205672849	0.4505693537
483	0.7207084851	0.4504869069
484	0.7207680094	0.4504382132
485	0.7209474685	0.4503367255
486	0.721050403	0.4502556672
487	0.7211765172	0.4501588315
488	0.721302406	0.4500877971
489	0.7214442854	0.4499946777
490	0.7215177159	0.4499504804
491	0.7216224486	0.4498879981
492	0.7217563791	0.4498082354
493	0.7218736242	0.4497248047
494	0.7220236642	0.4496434913
495	0.7221191985	0.4495658833
496	0.722235562	0.4495006281
497	0.7223153679	0.4494458835
498	0.7224009903	0.4493788634
499	0.7224216247	0.4493697939
