iter	Passed	Remaining
402	41083	20082
403	41123	19951
404	41179	19827
405	41216	19694
406	41256	19563
407	41294	19432
408	41324	19298
409	41355	19164
410	41391	19033
411	41431	18905
412	41472	18778
413	41520	18654
414	41568	18530
415	41603	18401
416	41636	18272
417	41677	18146
418	41741	18031
419	41787	17908
420	41868	17801
421	41976	17705
422	42143	17634
423	42221	17525
424	42273	17406
425	42347	17296
426	42381	17170
427	42405	17041
428	42432	16913
429	42460	16786
430	42492	16661
431	42518	16534
432	42546	16409
433	42574	16284
434	42604	16160
435	42630	16035
436	42660	15912
437	42690	15789
438	42722	15668
439	42753	15546
440	42784	15425
441	42818	15306
442	42847	15185
443	42874	15063
444	42904	14944
445	42936	14825
446	42966	14706
447	42992	14586
448	43018	14467
449	43045	14348
450	43077	14231
451	43104	14113
452	43132	13996
453	43158	13879
454	43186	13762
455	43211	13645
456	43237	13529
457	43264	13413
458	43291	13298
459	43322	13185
460	43354	13072
461	43386	12959
462	43418	12847
463	43444	12733
464	43470	12620
465	43503	12509
466	43536	12398
467	43573	12289
468	43609	12180
469	43651	12073
470	43684	11964
471	43718	11855
472	43756	11748
473	43795	11641
474	43822	11532
475	43851	11423
476	43879	11314
477	43904	11205
478	43933	11097
479	43960	10990
480	43989	10883
481	44015	10775
482	44043	10668
483	44072	10562
484	44096	10455
485	44124	10350
486	44150	10244
487	44178	10139
488	44205	10034
489	44237	9930
490	44274	9828
491	44308	9726
492	44343	9624
493	44373	9521
494	44403	9418
495	44433	9316
496	44464	9214
497	44493	9113
498	44523	9011
499	44550	8910
500	44578	8808
501	44608	8708
502	44640	8608
503	44672	8508
504	44698	8408
505	44727	8309
506	44759	8210
507	44790	8111
508	44823	8013
509	44863	7917
510	44902	7820
511	44945	7724
512	44978	7627
513	45010	7530
514	45040	7433
515	45071	7337
516	45108	7241
517	45151	7147
518	45190	7052
519	45226	6957
520	45257	6862
521	45289	6767
522	45320	6672
523	45346	6576
524	45376	6482
525	45405	6387
526	45435	6293
527	45463	6199
528	45492	6105
529	45522	6012
530	45548	5918
531	45587	5827
532	45621	5734
533	45654	5642
534	45689	5551
535	45729	5460
536	45759	5368
537	45789	5276
538	45816	5185
539	45847	5094
540	45876	5003
541	45909	4912
542	45951	4823
543	45983	4733
544	46021	4644
545	46052	4554
546	46087	4465
547	46121	4376
548	46157	4287
549	46197	4199
550	46228	4111
551	46258	4022
552	46291	3934
553	46324	3846
554	46361	3759
555	46397	3671
556	46432	3584
557	46467	3497
558	46503	3410
559	46536	3324
560	46568	3237
561	46602	3151
562	46636	3064
563	46665	2978
564	46692	2892
565	46730	2807
566	46759	2721
567	46791	2636
568	46819	2550
569	46850	2465
570	46884	2381
571	46913	2296
572	46941	2211
573	46971	2127
574	47001	2043
575	47030	1959
576	47048	1875
577	47069	1791
578	47096	1708
579	47115	1624
580	47135	1541
581	47155	1458
582	47175	1375
583	47193	1292
584	47211	1210
585	47228	1128
586	47247	1046
587	47267	964
588	47285	883
589	47304	801
590	47321	720
591	47339	639
592	47358	559
593	47378	478
594	47398	398
595	47417	318
596	47435	238
597	47453	158
598	47472	79
599	47493	0
